line	baselineClassification	classification	logical	remaining	steps	patterns	givens	stalledGrid	image	incorrectStep	incorrectElimination	incorrectCandidateLoss
166	Unique	Unique	true	0	74	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedTriple	.64...9..1..2..................493..7......5.....56......5...17.43..............2	364178925158293746972465183825749361796321854431856279689532417243617598517984632	-	-	-	-
167	Unique	Unique	true	0	70	HiddenSingle,LockedCandidatesPointing,NakedSingle	...6.9.3.8.1.........7......6.5...7.....1.4......2....2.....5.4...3..8...9.......	524689731871235946936741285462593178357816492189427653213978564745362819698154327	-	-	-	-
168	Unique	Unique	true	0	81	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedQuad,HiddenPair,NakedTriple	.3..4.......5...9.9......2..6....8..5..7..........1...7.21.........8.3.6......4..	635249187821573694974618523267395841518764239493821765742136958159482376386957412	-	-	-	-
169	Unique	Unique	true	0	85	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,UniqueRectangle	.8..9....3......6....3...4.....1...5..2...9....7...8..65....1.....2.7........4...	786492351349571268125386749493718625812645937567923814654839172931257486278164593	-	-	-	-
170	Unique	Unique	true	0	74	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedTriple	.8..51......6...2...........3....8.55.74...........1..4.6....7.....35...2........	782351964145697328369824751631972845597418632824563197456189273978235416213746589	-	-	-	-
171	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair	.3.6..7......25....1.......2.9....8....4...3.5........8..79..........4.6......1..	435689712798125364612347859249513687186472935573968241861794523327851496954236178	-	-	-	-
172	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,NakedQuad,ClaimingBoxLineReduction	1...4........2.5...63........98...........45.......7.172..........3.9......6...8.	152743869987126543463598217579814326231967458648235791726481935814359672395672184	-	-	-	-
173	Unique	Unique	false	58	18	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,ClaimingBoxLineReduction,NakedQuad	6...3.....2......7....5.8..3.1...9.....2.4......7.....8.....59....1...6..4.......	6...3.....2...1..7....5.8..371...9.....2.4......7.3...8....659....1...6..46......	failures/top1465-0173.png	-	-	-
174	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,ClaimingBoxLineReduction,NakedPair	...7..2.18.39.....5.........4..6.....7....1.....5...8.....42..69...............3.	496738251823951764517426398148367529675289143239514687351842976982673415764195832	-	-	-	-
175	Unique	Unique	false	43	39	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedPair,NakedSingle,ClaimingBoxLineReduction	58..3...........219........76.2......4....8......9.5.....4.1.7.3...........6.....	581932746...5..9219.....3..76.2...3..4.3..8......9456..9.451.733..8.9....5.6.3...	failures/top1465-0175.png	-	-	-
176	Unique	Unique	true	0	76	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedQuad,NakedPair,NakedSingle	..1....8....2..5.....6.........14.3.62....7..........927.8.........3...45........	361475982497281563852693417785914236629358741134762859273846195918537624546129378	-	-	-	-
177	Unique	Unique	true	0	81	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction,NakedTriple	3..4.9....8....6...........4.91.........6.2.8......5......3..7.52..........7...1.	316459827784213659295678134459182763173564298862397541641835972527941386938726415	-	-	-	-
178	Unique	Unique	true	0	75	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedPair,NakedSingle	1...9..6..5.....4..6..3.......5.7..28..4.....9.........732...........8........1..	142895763358672941769134285614587392837429516925361478473218659291756834586943127	-	-	-	-
179	Unique	Unique	false	61	12	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,HiddenPair	8.75.........9.6..4.........6....2.95..7........4..3...3..2......1....8........1.	8.75.6.......9.6..4.6.......6....2.95..7........4..3...3..2......1....8........1.	failures/top1465-0179.png	-	-	-
180	Unique	Unique	true	0	76	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedQuad,NakedTriple	8..5..4......2..9..........5..3..1...76.........4.........69.241.....3......7....	827591463435628791691734258542386179376912845918457632783169524169245387254873916	-	-	-	-
181	Unique	Unique	false	56	2	HiddenSingle,Swordfish	5..7.........3..7...8..5..36..1..4...8..2..9...9..8..1...4..3...6..9..4...2..6..9	5..7.........3..7...8..5..36..1.94...8..2..9...9..8..1...4..3...6..9..4...2..6..9	failures/top1465-0181.png	-	-	-
182	Unique	Unique	false	57	4	HiddenSingle,FinnedXWing,FinnedSwordfish	......8...7..9..1...3..7..51..6......5..2..4...8..9..74.....2...6..1..5......6..3	......87..7..9.31...3..7..51..6......5..2..4...8..9..74.....2...6..1..5......6..3	failures/top1465-0182.png	-	-	-
183	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,ClaimingBoxLineReduction,NakedPair	7.2...4.....8.96.....5......8....5..3...1........4..7.1......32...6......9.......	752163489431829657968574321284796513375218946619345278146957832523681794897432165	-	-	-	-
184	Unique	Unique	true	0	75	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedTriple	.19.6....2.....7...........3..4.1..........91....5..6....2.34...51.........7.....	819567243245139786673824159396481527524376891187952364968213475751648932432795618	-	-	-	-
185	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedSingle,NakedPair	63.2............857.........91.........8...4....7..6..2.....3......1...4....59...	638275419142963785759148263491526837567831942823794651215487396986312574374659128	-	-	-	-
186	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction	6.2...7.....8.95.....4......8....4..3...7........3..1.1......26...5......9.......	642351798731869542958427631287195463319674285564238917175943826423586179896712354	-	-	-	-
187	Unique	Unique	false	55	3	HiddenSingle,LockedCandidatesPointing	6.....3...5..9..8...2..6..98.....7...7..5..4......1..51..3..5...4..2..6...8..7..2	6.....3...5..9..8...2..6..98.5...7...7..5..4......1..512.3..5...4..2..6...8..7..2	failures/top1465-0187.png	-	-	-
188	Unique	Unique	true	0	75	HiddenSingle,LockedCandidatesPointing,NakedSingle	1.....54....9......7..........6.7..9..82.....4.3......62...........1..5.....3.8..	139768542546921783872354691251687439798243165463195278625879314387412956914536827	-	-	-	-
189	Unique	Unique	false	54	10	LockedCandidatesPointing,NakedTriple,NakedSingle,NakedQuad,HiddenSingle	..84...3....3.....9....157479...8........7..514.....2...9.6...2.5....4......9..56	..84...3....3.....9....157479...8........7..514.9...2...9.6...265....4......9..56	failures/top1465-0189.png	-	-	-
190	Unique	Unique	true	0	76	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,ClaimingBoxLineReduction,NakedTriple	2...4.3......1..75.........8..3.9..........54...2......15...6.....8..9...7.......	261547389389612475547938126824359761793186254156274893915723648432865917678491532	-	-	-	-
191	Unique	Unique	true	0	70	HiddenSingle,LockedCandidatesPointing,NakedSingle	...3...1..92.......4...........28.........7.3...5...6....79.4..8.....25.1........	687342519392156874541879326763928145925614783418537962256791438879463251134285697	-	-	-	-
192	Unique	Unique	true	0	76	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedTriple	.19....5.4..2..................91.......5..6.7.....3.....3..4.7.61............2..	819437652436285179527169843643891725182753964795642381958326417261974538374518296	-	-	-	-
193	Unique	Unique	true	0	73	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedQuad,HiddenPair,NakedPair	.342...5.....87....1.........24...3..5....2..6...........3....12.....7..8........	734296158526187493918543672182475936357961284649832517475329861293618745861754329	-	-	-	-
194	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedSingle,NakedPair	63.2............857.........91.........8...4....7..6..2.....3......5...4....19...	638275419142963785759148263491526837567831942823794651215487396986352174374619528	-	-	-	-
195	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedSingle,NakedQuad	36.1...5.....4.29......7...61............94..8..........2.5.......8....6........3	367192854158643297249587361614278935725369418893415672432756189971834526586921743	-	-	-	-
196	Unique	Unique	true	0	76	HiddenSingle,LockedCandidatesPointing,NakedSingle,ClaimingBoxLineReduction,NakedPair	.2.8..3.....7.....9............6.74..3.2......1.....5.4.5.9..........8.16........	527849316148736925963512478859163742736254189214987653485691237392475861671328594	-	-	-	-
197	Unique	Unique	false	56	7	HiddenSingle,NakedTriple,NakedQuad,Swordfish,FinnedSwordfish	2..7..1......5..9...1..4..3......8......4..6...9..6..27..5..6...5..7..3...6..3..1	2..7..1......5..9...1..4..3......8......4..6...9..6..27..5..6...5.67..3...64.3..1	failures/top1465-0197.png	-	-	-
198	Unique	Unique	true	0	72	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair	2.65....8....413..9............5.73.8..6...............7....4.....2.9....1.......	246537918785941326931862574624158739857693241193724865579316482468279153312485697	-	-	-	-
199	Unique	Unique	true	0	81	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,HiddenPair,ClaimingBoxLineReduction	8.5.....2...9.1...3.........6.7..4..2...5...........6....38.....9....7...4.....1.	815674932426931857379825146561793428284156379937248561152387694693412785748569213	-	-	-	-
200	Unique	Unique	false	56	5	HiddenSingle,LockedCandidatesPointing,Swordfish	6..1..7......7..8...9..8..37..4..5...3.....2...4..5..81..2..4.........5...6..9...	6..1..7......7..8..79..8..37..4..5...3.....24..4..5.781..2..4.........5...6..9...	failures/top1465-0200.png	-	-	-
201	Unique	Unique	false	55	4	HiddenSingle,XWing,FinnedSwordfish	3..5..1...7.....8...8..4..66..4..9...3..6..5...7..1..48..1..3......2..6...2..9...	3..5..1...7.....8...8..4..66..4..9...3..6..5...7..16.48..1..3....3.2..6...2..9...	failures/top1465-0201.png	-	-	-
202	Unique	Unique	true	0	71	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair	.1.4.9.........32....7.........56..48...3..........7.95.....8..2......6....1.....	713429658489615327625783941197856234842937516356241789561374892274598163938162475	-	-	-	-
203	Unique	Unique	false	56	8	LockedCandidatesPointing,HiddenPair,NakedSingle	12.4.........8...37....6...........8.....2.45..59...6..1...4.9..7....8..96..1..2.	12.4.....45..8...37....6...........8.....2.45..59...6..1...4.9..7....8..96..1..2.	failures/top1465-0203.png	-	-	-
204	Unique	Unique	false	54	7	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction	......94.....9...53....5.7..8.4..1..463...........7.8.8..7.....7......28.5.26....	....7.94..7..9...53....5.7..874..1..463...........7.8.8..7.....7......28.5.268...	failures/top1465-0204.png	-	-	-
205	Unique	Unique	false	57	2	NakedSingle,HiddenSingle	.......4...2..4..1.7..5..9...3..7....4..6....6..1..8...2....1..85.9...6.....8...3	.......4...2..4..1.7..5..9...3..7....4..6....69.1..8..32....1..85.9...6.....8...3	failures/top1465-0205.png	-	-	-
206	Unique	Unique	false	43	37	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,HiddenPair	....3..7..2....8...1.......3...6.2..2..1..5..7.4......6......4....2.5......8.....	.4693.17.9274518...136.74.93.1.6.2..2.81..5..7.4......68..1..4...92.5......8.6...	failures/top1465-0206.png	-	-	-
207	Unique	Unique	false	55	5	HiddenSingle,NakedQuad,LockedCandidatesPointing,HiddenPair	53..2.9...24.3..5...9..........1.827...7.........981.............64....91.2.5.43.	53..2.9...24.3..5...9..........1.827...7...9.....981.............64....91.2.5.43.	failures/top1465-0207.png	-	-	-
208	Unique	Unique	true	0	71	HiddenSingle,LockedCandidatesPointing,NakedSingle	1.83..........72..3..6.....642.5...........61.7........5....4.....8...3..........	198342657465187293327695814642751389539428761871963542953216478216874935784539126	-	-	-	-
209	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedPair,NakedSingle,ClaimingBoxLineReduction	.8..4....3......1........2...5...4.69..1..8..2...........3.9....6....5.....2.....	781942365324576918659831724815723496936154872247698153578369241162487539493215687	-	-	-	-
210	Unique	Unique	false	54	21	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,NakedQuad,FinnedSwordfish	1.27...8.....56...3............9.7.4...2.....8...........1...3..9....5...6....4..	1.27.9.8.....56...3.6...9....5.987.4...2..8..8..5........1...39.9....5...6.9..4..	failures/top1465-0210.png	-	-	-
211	Unique	Unique	false	59	17	HiddenSingle,LockedCandidatesPointing,NakedSingle,ClaimingBoxLineReduction,NakedQuad	2..4......7....6.....5....1...8...2583..9.................6.37.4.1............9..	2..4......7....6.....5....1...8...2583..9.......6..8......6.37.4.1.........2..91.	failures/top1465-0211.png	-	-	-
212	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedQuad,HiddenPair,ClaimingBoxLineReduction,NakedSingle	3.2....4..7..85.............9..6.8.....2...3....1..........95.72..4.....1........	382716945974385162615942378793564821541298736826137459438629517259471683167853294	-	-	-	-
213	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,NakedTriple,FinnedXWing	5.4....6.....21...3........27..9...8...5...3...........1....7.96..4...........2..	524987163867321594391654872276193458148562937953748621415236789682479315739815246	-	-	-	-
214	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair	....28.7.4.1...........5......1..4.6.2..7..........3..6..34.....8.2...5..........	963428175451739862872615934597183426326974518148562397615347289784291653239856741	-	-	-	-
215	Unique	Unique	false	57	7	HiddenSingle,LockedCandidatesPointing,NakedQuad,HiddenPair	....8.4..4.......7..69....3.......7...7..62.5.9...2..1..3....5..8..14......32..1.	....8.4..4.......7..694...3.......7...7..62.5.9...2..1..3....5..8..14......32..1.	failures/top1465-0215.png	-	-	-
216	Unique	Unique	false	51	14	NakedSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedQuad,HiddenSingle	1..........6.....3.8....4.1...6785.4...9........5..76...2......59.814......3..9..	1..4.......61....3.8.2..4.1..16785.4...94.......5.176...27.....59.814......3..9..	failures/top1465-0216.png	-	-	-
217	Unique	Unique	false	57	17	LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedSingle,NakedQuad,HiddenSingle,NakedPair,FinnedSwordfish	.2..5...9..618..73............5....8...938....1.....6...1....2......4....973..4..	.2..5...9..618..73...........45....8...938....1.....65..1....2......4....973..4..	failures/top1465-0217.png	-	-	-
218	Unique	Unique	false	48	30	HiddenSingle,LockedCandidatesPointing,NakedSingle,ClaimingBoxLineReduction,NakedPair	5.2....4.....81...6............3.7..4..5............9..97...3.....2...6..1....8..	582...641...6815..6.14..9...2..347.64..5..2........49..97...3.....2..16..16...8..	failures/top1465-0218.png	-	-	-
219	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedPair,NakedSingle	24.7.........5...6..........59...3.....1.8....6.......3.....27.8.....14.....9....	245786931981354726637912854159427368423168597768539412316845279892673145574291683	-	-	-	-
220	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedSingle,ClaimingBoxLineReduction,NakedTriple,NakedQuad,NakedPair	5...7........4.6....3....9.2.....7.1...9.8......3.....42....5.....1...8..6.......	596873142812549673743261895289654731637918254154327968428736519375192486961485327	-	-	-	-
221	Unique	Unique	true	0	74	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedTriple	5.....3.....1...2....4.6.........5.8.6.2...........9...1.....499...3....8...9....	541928376697153824283476195732649518169285437458317962315862749976534281824791653	-	-	-	-
222	Unique	Unique	true	0	70	HiddenSingle,LockedCandidatesPointing,NakedSingle	...1..5..4......6..........6.2.4....5.....8.37.........315..........7.2..5.8.....	328176594495238761176459238682743159549621873713985642931562487864317925257894316	-	-	-	-
223	Unique	Unique	true	0	75	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,ClaimingBoxLineReduction,NakedTriple	.2.41.....8...7.3..........7.5....6....18....3...........6..4.16....5.........2..	923418675184567932576392814715924368269183547348756129832679451691245783457831296	-	-	-	-
224	Unique	Unique	false	53	3	LockedCandidatesPointing,ClaimingBoxLineReduction	....7.94..7..9...53....5.7..874..1..463.8.........7.8.8..7.....7......28.5.268...	....7.94..7..9...53....5.7..874..1..463.8.........7.8.8..7.....7......28.5.268...	failures/top1465-0224.png	-	-	-
225	Unique	Unique	false	57	10	HiddenSingle,LockedCandidatesPointing,NakedPair,NakedQuad,FinnedXWing	.4.5.....8...9..3..76.2.....146..........9..7.....36....1..4.5..6......3..71..2..	.4.5.....8...9..3..76.2.....146.....6....9..7.....36....1..4.5..6......3..71..2..	failures/top1465-0225.png	-	-	-
226	Unique	Unique	false	33	48	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,ClaimingBoxLineReduction,NakedTriple	..14.7...5.....6.....8.....4.86...7.....2.3...........63..5...........41.2.......	..14.79255..21.68....8.5.134586..172.1..2.3.......1..9634152.9...53762411279..536	failures/top1465-0226.png	-	-	-
227	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction	2.4...8.....3.4.............3.5.7...6.....4.2...1......1.....5.8...9........6..7.	254719863796384125381652794132547689675938412948126537419873256867295341523461978	-	-	-	-
228	Unique	Unique	false	36	26	LockedCandidatesPointing,ClaimingBoxLineReduction,NakedQuad,HiddenSingle,NakedSingle,NakedPair	.2.4....94..189.......62.5......63..3..94.5.......8.1..........8.2..4...964.....7	1234....9456189..37..36245124...63.83..94.5..6.5238.145......4.8.2..4..5964.....7	failures/top1465-0228.png	-	-	-
229	Unique	Unique	false	54	8	HiddenSingle,ClaimingBoxLineReduction,NakedQuad,XWing,FinnedSwordfish,LockedCandidatesPointing	6..9..4...4..5..3...8..6..55..7..3...7..2......2..5..41..6.........3..8...6..2..1	6..9..4...4..5..3...8..6..55..7..3...7..2.56...2..5..41..6....3....3..8...6..2..1	failures/top1465-0229.png	-	-	-
230	Unique	Unique	true	0	71	HiddenSingle,LockedCandidatesPointing,NakedSingle	4.....8.5.3..........7......2.....6.....8.4......1.......6.3.7.5..2.....1.4......	417369825632158947958724316825437169791586432346912758289643571573291684164875293	-	-	-	-
231	Unique	Unique	false	54	8	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction	....5...11......7..6.....8......4.....9.1.3.....596.2..8..62..7..7......3.5.7.2..	....5...11......7..6.....8...6..4.....9.1.3.....596.2..8..62..7627..5...3.5.7.2..	failures/top1465-0231.png	-	-	-
232	Unique	Unique	false	54	2	HiddenSingle,XWing	9..7..3...5..2..1...7.....93..6..7...6..5..3...2..8..61..4..6...4..6..8...6..3..4	9..7..3...5..2..17..7.....93..6..7...6..5..3...2..8..61..4..6...4..6..8...6..3..4	failures/top1465-0232.png	-	-	-
233	Unique	Unique	false	57	16	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,NakedQuad	.2.8....51.....93............84..2......1........6....61.....7....2.5..43........	.2.8....51.....93............84..2......1......1.6....61.984.7....235..43...7....	failures/top1465-0233.png	-	-	-
234	Unique	Unique	true	0	71	HiddenSingle,LockedCandidatesPointing,NakedSingle	.2..5.6.8...7..4.....1.3....6..4....3......5........1.7..3.5.........2......8....	127954638536728491498163527961547382384291756275836914742315869813679245659482173	-	-	-	-
235	Unique	Unique	true	0	74	LockedCandidatesPointing,ClaimingBoxLineReduction,NakedPair,HiddenSingle,NakedSingle	..3......4.6.......8.231..62...9..715.......8....4...3....7...........9...1.68..7	123456789456789132789231546238695471594317268617842953362974815875123694941568327	-	-	-	-
236	Unique	Unique	false	59	17	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedQuad,ClaimingBoxLineReduction	2...9...8...4..7..6.........4.3.7..........92...1.....5...6..........31....5.8...	2...9...8...4..7..6.........4.3.7..........928..1.9...5...6..........3154..5.8...	failures/top1465-0236.png	-	-	-
237	Unique	Unique	true	0	73	LockedCandidatesPointing,NakedTriple,NakedSingle,HiddenSingle	...3..16..27.........9......48.2.......6..9......8........74.2.3.....5..1........	489352167627418395513967248948521736751643982236789451895174623372896514164235879	-	-	-	-
238	Unique	Unique	true	0	76	LockedCandidatesPointing,NakedQuad,NakedSingle,HiddenSingle,UniqueRectangle	..1...5.....2.9......8..3..53..4...........726.........2.1...894...3.............	891473526763259841254816397537642918149385672682791453325164789418937265976528134	-	-	-	-
239	Unique	Unique	true	0	71	HiddenSingle,LockedCandidatesPointing,NakedPair,NakedSingle	..1...8.....6.4.......3.......72....4......5..9.....3.6.....2.1...8..7..31.......	931572846825614379746938125563729418478163952192485637684357291259841763317296584	-	-	-	-
240	Unique	Unsolvable	false	2	67	NakedSingle,HiddenSingle,LockedCandidatesPointing,NakedTriple,ClaimingBoxLineReduction,NakedQuad,UniqueRectangle,FinnedXWing	.......2...43...965....21..1.....7........432....5..1..6.........597...8.9.68....	81954632727431859653679218418243976595786143264325781976812495332597.64849168327.	failures/top1465-0240.png	37:NakedSingle:C1:9->1	36:NakedTriple:C1:-1	36:NakedTriple:elimination:C1:-1
241	Unique	Unique	false	56	9	HiddenSingle,LockedCandidatesPointing,NakedTriple	..345..8..........7.9.31...24...7.....8..9..5....1..2..7....29.8..........2...6.4	..345..8..........7.9.31...24...7.....8..9..5..7.1..2..7....2988..........2...6.4	failures/top1465-0241.png	-	-	-
242	Unique	Unique	true	0	74	LockedCandidatesPointing,NakedTriple,NakedSingle,HiddenSingle	...3..18..26.........9......47.2.......5..9......7........64.2.3.....5..1........	479352186826417395513986247947823651638541972251679438795164823362798514184235769	-	-	-	-
243	Unique	Unique	true	0	72	HiddenSingle,LockedCandidatesPointing,NakedSingle	52...6.........7.13...........4..8..6......5...........418.........3..2...87.....	527316489896542731314987562172453896689271354453698217941825673765134928238769145	-	-	-	-
244	Unique	Unique	false	55	1	HiddenSingle	2..5..6...9.....3...1..9..44..9..7...5..4..8...7..1..6...1..3...2..7..9...8..3..5	2..5..6.9.9.....3...1..9..44..9..7...5..4..8...7..1..6...1..3...2..7..9...8..3..5	failures/top1465-0244.png	-	-	-
245	Unique	Unique	true	0	73	HiddenSingle,LockedCandidatesPointing,NakedSingle	6.....8.3.4.7.................5.4.7.3..2.....1.6.......2.....5.....8.6......1....	617459823248736915539128467982564371374291586156873294823647159791385642465912738	-	-	-	-
246	Unique	Unique	false	56	1	LockedCandidatesPointing	9.4..5...25.6..1..31......8.7...9...4..26......147....7.......2...3..8.6.4.....9.	9.4..5...25.6..1..31......8.7...9...4..26......147....7.......2...3..8.6.4.....9.	failures/top1465-0246.png	-	-	-
247	Unique	Unique	false	56	7	HiddenSingle,LockedCandidatesPointing	..9..63...72..........17..51..3..9..........86.84....1.6.........1.2....9.3...45.	.19..63...72........6.17..51..3..9..........86.84....1.6.........1.2....9.3...45.	failures/top1465-0247.png	-	-	-
248	Unique	Unique	false	56	9	LockedCandidatesPointing,NakedPair,NakedSingle,ClaimingBoxLineReduction,NakedQuad,HiddenSingle	..24............98..8..16...5....826....4.7..7..8...5...167....3...92.....9......	..24............98..8..164..54...826....4.7..7..8...5...167....3...92.....9......	failures/top1465-0248.png	-	-	-
249	Unique	Unique	false	48	26	HiddenSingle,LockedCandidatesPointing,NakedPair,NakedSingle,ClaimingBoxLineReduction,NakedQuad,NakedTriple,UniqueRectangle,FinnedXWing	...85......5..6.1..6.....5..3......147.9............26.9.6.38...8...1.9...3......	...85.63..45..6.1..6.....5..3....9.147.9.2583.......26.9.6.38...8...139...3...16.	failures/top1465-0249.png	-	-	-
250	Unique	Unique	false	46	23	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedQuad,NakedSingle	......6894......7.....26...2...6.34...49..8.2...........87.5....6.83......7......	...4..6894.6.8927...9.26...29..68347..49..8.2...2.......87.5....6.83.7....76....8	failures/top1465-0250.png	-	-	-
251	Unique	Unique	false	52	13	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedSingle,NakedPair,FinnedXWing	.5.3.7.4.1.........3.......5.8.3.61....8..5.9.6..1........4...6...6927....2...9..	.5.3.7.4.1.....3...3.......5.8.3.612...8..5.9.6..1.4......4..26...6927..6.2...9..	failures/top1465-0251.png	-	-	-
252	Unique	Unique	false	40	26	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedSingle,FinnedXWing	.2......6....41.....78....1......7....37.....6..412....1..74..5..8.5..7......39..	.2...7..6.35641..7.6782...1......7....37.....679412..831.974..5.98.56.7375..839..	failures/top1465-0252.png	-	-	-
253	Unique	Unique	true	0	71	HiddenSingle,LockedCandidatesPointing,NakedSingle	.175..6.....4....3.6....5..8.4....2.....51...3............6.7..2..8..............	917523684582496173463718592854679321629351847371284956145962738296837415738145269	-	-	-	-
254	Unique	Unique	true	0	74	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair	2.6.9...........847.........8.4......15...........76..9.....2.....3....5...1...3.	246798153591236784738541926687413592415962378329857641953684217174329865862175439	-	-	-	-
255	Unique	Unique	false	55	15	NakedSingle,HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedPair,HiddenTriple,FinnedXWing,FinnedSwordfish	.2.4...5......6..44.....91.8.........3.7.4...27.8.3.....95.1.2.5....2.3........8.	.2.4...5......6.744.....91.8.........3.7.4...27.8.3.....95.1.2.5....2.3...2....8.	failures/top1465-0255.png	-	-	-
256	Unique	Unique	true	0	72	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle	.2......5...7...4....3.9....8..62...3..4...7..............5.8.64.1............2..	729146385638725149514389762187562493352491678946873521273954816461238957895617234	-	-	-	-
257	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,ClaimingBoxLineReduction	1..4.8....5....7...........4.63.........7.59........2....8....16.......3.9..2....	137498652954263718268517439426359187813672594579184326742835961685941273391726845	-	-	-	-
258	Unique	Unique	false	36	27	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedQuad,NakedSingle,NakedPair	.2.4....94..18........62.5......63..3..94.5.......8.1..........8.2..4...964.....7	1234....9456189..37..36245124...63.83..94.5..6.5238.145......4.8.2..4..5964.....7	failures/top1465-0258.png	-	-	-
259	Unique	Unique	false	57	7	HiddenSingle,LockedCandidatesPointing,HiddenTriple	.2....4..7.......6..8..7.....3..89.........42.541.........6....5....93.....34..81	.2....4..7....4..6..8..7.....34.89.........42.541.........6....5....93.....34..81	failures/top1465-0259.png	-	-	-
260	Unique	Unique	false	57	8	LockedCandidatesPointing,NakedPair,NakedSingle,HiddenSingle,Swordfish,FinnedXWing	..8.9.1...6.5...2......6....3.1.7.5.........9..4...3...5....2...7...3.8.2..7....4	..839.1...6.5...2......6....3.1.7.5.....3...9..4...3...5....2...7...3.8.2..7....4	failures/top1465-0260.png	-	-	-
261	Unique	Unique	false	56	1	ClaimingBoxLineReduction	..6..3....97..513..2..91.8........7.6.........41.....9...5..8.....3.47....4.16..5	..6..3....97..513..2..91.8........7.6.........41.....9...5..8.....3.47....4.16..5	failures/top1465-0261.png	-	-	-
262	Unique	Unique	false	46	19	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,FinnedXWing,FinnedSwordfish,NakedPair,NakedSingle	1.....9...64..1.7..7..4.......3.....3.89..5....7....2.....6.7.9.....4.1....129.3.	1...3.9...64.91.7.973.4.......3...9.3.89..5...974...2.....637.9.39..4.1.7..129.3.	failures/top1465-0262.png	-	-	-
